EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
100.175,2.125,5,11766,3422.822319984436,617376,0.0,0.22065331,0.3493725061416626,0.001184512,0.012209944,0.012209944
101.5,2.175,6,11772,3425.65101313591,617877,0.0,0.2861215,0.4476745128631592,0.0005069739,0.006363335,0.006363335
100.975,2.15,6,11778,3428.3835294246674,618465,0.0,0.27936423,0.6151894629001617,0.0010513794,0.009669661,0.009669661
95.15,1.95,4,11782,3431.1177892684937,618869,0.0,0.21778241,0.29772430658340454,0.00087256107,0.010559222,0.010559222
93.175,1.925,8,11790,3434.2917861938477,619517,0.0,0.14370486,0.3078358769416809,0.0003511002,0.0013782838,0.0013782838
86.025,1.75,6,11796,3437.1542580127716,619914,0.0,0.18807313,0.6466226875782013,0.0007085025,0.008675877,0.008675877
85.35,1.725,8,11804,3439.9277999401093,620538,0.0,0.30830437,0.7355733215808868,0.0013127206,0.012654606,0.012654606
80.95,1.575,6,11810,3442.679003238678,620996,0.0,0.37315023,0.5983245670795441,0.0011340547,0.0130807515,0.0130807515
78.625,1.525,7,11817,3445.578713655472,621478,0.0,0.23311356,0.7166687250137329,0.0005334554,0.0099963695,0.0099963695
79.1,1.525,5,11822,3448.4360468387604,622033,0.0,0.2801906,0.7311483919620514,0.00058192015,0.0075967936,0.0075967936
80.35,1.55,6,11828,3451.278713941574,622500,0.0,0.28053355,0.6857529878616333,0.00068225013,0.0100652315,0.0100652315
79.225,1.475,7,11835,3454.1537296772003,622985,0.0,0.23611496,0.542619913816452,0.0006470616,0.008148459,0.008148459
81.775,1.575,6,11841,3457.0170147418976,623537,0.0,0.32319182,0.5303287506103516,0.00044447876,0.0076131914,0.0076131914
86.025,1.675,5,11846,3459.904956817627,624098,0.0,0.28851992,0.6090651750564575,0.0014852865,0.009903672,0.009903672
86.975,1.725,5,11851,3462.6461288928986,624559,0.0,0.30974928,0.6200958490371704,0.001227936,0.01793693,0.01793693
85.625,1.675,8,11859,3465.466322183609,625139,0.0,0.4291668,0.6089589595794678,0.0014046044,0.014700076,0.014700076
81.3,1.575,7,11866,3468.3006422519684,625556,0.0,0.25778455,0.48606300354003906,0.0012381735,0.016433425,0.016433425
81.1,1.575,5,11871,3471.0799717903137,626018,0.0,0.31573263,0.5156197547912598,0.0012311153,0.011715097,0.011715097
79.15,1.5,9,11880,3474.0062232017517,626605,0.0,0.40724036,0.717701643705368,0.0004050199,0.009028557,0.009028557
81.05,1.55,5,11885,3476.927055835724,627187,0.0,0.33719087,0.3253858685493469,0.00052919437,0.008147547,0.008147547
75.475,1.4,7,11892,3479.7896389961243,627674,0.0,0.2448823,0.6429170072078705,0.00051247975,0.009114921,0.009114921
78.55,1.475,6,11898,3482.689525604248,628159,0.0,0.3288172,0.5966522097587585,0.00039770006,0.006655599,0.006655599
73.2,1.3,9,11907,3485.5693633556366,628686,0.0,0.48071468,0.7856442183256149,0.00044610197,0.01115891,0.01115891
75.05,1.35,6,11913,3488.410118818283,629206,0.0,0.22470644,0.6173957586288452,0.00064757647,0.006976232,0.006976232
78.0,1.45,6,11919,3491.2488400936127,629702,0.0,0.39423504,0.38967788219451904,0.00038968923,0.0049278894,0.0049278894
76.0,1.4,7,11926,3494.1114196777344,630250,0.0,0.32982612,0.8280965983867645,0.00079869974,0.009936376,0.009936376
79.825,1.475,5,11931,3497.0044083595276,630766,0.0,0.3040315,0.4537730813026428,0.00038358895,0.006853657,0.006853657
80.775,1.5,4,11935,3499.7664551734924,631200,0.0,0.38433957,0.5489155948162079,0.001418619,0.016567837,0.016567837
84.85,1.6,7,11942,3502.5222771167755,631796,0.0,0.42717785,0.8083695024251938,0.001483833,0.017491288,0.017491288
85.425,1.625,8,11950,3505.3082509040833,632270,0.0,0.3216802,0.6818836331367493,0.0013049233,0.011592161,0.011592161
82.225,1.525,6,11956,3508.1723504066467,632827,0.0,0.2007755,0.6542966365814209,0.0004483816,0.0048624603,0.0048624603
82.25,1.55,5,11961,3511.041573524475,633164,0.0,0.24551253,0.6795230507850647,0.00047759223,0.012046237,0.012046237
87.825,1.7,7,11968,3513.943272590637,633855,0.0,0.31696606,0.687730997800827,0.00048606418,0.0069473954,0.0069473954
79.125,1.475,6,11974,3516.720776796341,634342,0.0,0.29089683,0.7919239550828934,0.0014794811,0.013318036,0.013318036
81.425,1.525,5,11979,3519.5805201530457,634812,0.0,0.29772025,0.8000153005123138,0.00041430438,0.007893544,0.007893544
85.4,1.675,5,11984,3522.448430299759,635305,0.0,0.15795916,0.6696991920471191,0.0005762392,0.009518665,0.009518665
91.725,1.9,4,11988,3525.3240122795105,635843,0.0,0.1485781,0.07073253393173218,0.0013782205,0.014105583,0.014105583
91.55,1.9,7,11995,3528.178334236145,636391,0.0,0.29815227,0.34232068061828613,0.0012152025,0.007598687,0.007598687
96.6,2.075,5,12000,3530.906485557556,636876,0.0,0.17066716,0.47158586978912354,0.0013484638,0.009976333,0.009976333
97.625,2.1,5,12005,3533.809319972992,637426,0.0,0.18569261,0.30581432580947876,0.00074813364,0.011484722,0.011484722
96.1,2.075,6,12011,3536.7051157951355,637945,0.0,0.2398844,0.4649686813354492,0.0006040818,0.009444002,0.009444002
97.65,2.125,4,12015,3539.568392753601,638323,0.0,0.18141386,0.7712450176477432,0.00064371596,0.008272997,0.008272997
97.425,2.125,6,12021,3542.4388597011566,638936,0.0,0.26226178,0.7093559205532074,0.00085127255,0.013233617,0.013233617
96.375,2.075,4,12025,3545.2256276607513,639348,0.0,0.19889942,0.4539145827293396,0.0014648063,0.01501647,0.01501647
96.175,2.025,6,12031,3548.0134093761444,639978,0.0,0.30309403,0.603832483291626,0.0012026164,0.013945218,0.013945218
