eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
223.51,2.6,205,0.0009251843,0.02734375,1.3084933,-0.0031622709,0.005205222,0.9443850368261337,79,10112,198.08649419702124,40448
226.41,2.67,202,0.0017203023,0.087402344,1.3265029,-0.0052811466,0.024245251,0.744337648153305,80,10240,200.61614032206126,40960
222.84,2.59,198,0.0019722302,0.079589844,1.3250384,-0.0072832117,0.006202362,0.8982823193073273,81,10368,203.18983155000024,41472
214.34,2.37,205,0.0029273988,0.171875,1.2841247,-0.005770544,0.003999951,0.9630094654858112,82,10496,205.67616336606443,41984
214.84,2.41,204,0.0016386189,0.078125,1.3123436,-0.004335619,0.0055972133,0.9512448161840439,83,10624,208.17555837298278,42496
214.84,2.41,201,0.0021886695,0.12841797,1.3001301,-0.007176492,0.010077026,0.915852464735508,84,10752,210.71317725698464,43008
218.76,2.53,202,0.0021016442,0.10107422,1.3048372,-0.0072604986,0.0055285813,0.9450905509293079,85,10880,213.24271690298337,43520
218.74,2.53,202,0.0010215483,0.040527344,1.272609,-0.0041658925,0.0028971257,0.9740219116210938,86,11008,215.7702112850966,44032
219.91,2.56,202,0.0021149358,0.10107422,1.2769427,-0.008765745,0.0053059924,0.9541973285377026,87,11136,218.29446862800978,44544
217.62,2.48,203,0.0021849067,0.1430664,1.2985258,-0.0063738856,0.003525693,0.9562896452844143,88,11264,220.81525701005012,45056
216.06,2.42,200,0.0022992508,0.13476562,1.3175665,-0.0056722974,0.018752396,0.5572694838047028,89,11392,223.37236968998332,45568
216.06,2.42,216,0.0016875033,0.08154297,1.3011683,-0.007533949,0.008005876,0.9232823178172112,90,11520,225.7380733700702,46080
215.65,2.42,212,0.0022006012,0.100097656,1.2938751,-0.006153562,0.003143851,0.9614748507738113,91,11648,228.14630074007437,46592
213.4,2.37,206,0.002199712,0.13378906,1.2968746,-0.006454894,0.0221681,0.7706895470619202,92,11776,230.6280928000342,47104
215.63,2.42,206,0.0025164366,0.140625,1.2868949,-0.006473027,0.018602233,0.7618780136108398,93,11904,233.11307835404295,47616
213.44,2.35,201,0.0013696902,0.05859375,1.2921665,-0.0051614554,0.013858619,0.8035053312778473,94,12032,235.6605546870269,48128
217.42,2.47,201,0.001326676,0.0625,1.2897921,-0.00617945,0.01309443,0.8713587671518326,95,12160,238.19796668901108,48640
216.65,2.42,201,0.0017955524,0.09472656,1.2698896,-0.006698969,0.016417224,0.8279444873332977,96,12288,240.73741730302572,49152
213.78,2.36,203,0.0017346618,0.068359375,1.2813402,-0.0062338756,0.005057074,0.9616154357790947,97,12416,243.25405001000036,49664
214.01,2.34,201,0.0041661966,0.24365234,1.2665603,-0.010595207,0.009964559,0.8953609615564346,98,12544,245.79132268601097,50176
214.54,2.35,199,0.0024882553,0.13720703,1.2301381,-0.007762671,0.013691677,0.8143184781074524,99,12672,248.35475286806468,50688
215.99,2.38,200,0.00358351,0.21923828,1.2380387,-0.007409141,0.02346081,0.7660660296678543,100,12800,250.90596934803762,51200
213.52,2.3,204,0.0015813792,0.07324219,1.2140242,-0.0045767017,0.021795176,0.7588092088699341,101,12928,253.41245254606474,51712
212.77,2.24,204,0.0016637874,0.08984375,1.2178702,-0.0064127436,0.014017014,0.7187598645687103,102,13056,255.922154631,52224
214.04,2.28,201,0.0016978451,0.087890625,1.2189027,-0.0059777824,0.011514952,0.8582130819559097,103,13184,258.4573098620167,52736
207.76,2.09,206,0.0019427687,0.08691406,1.2375236,-0.006344959,0.0056920173,0.9472965486347675,104,13312,260.9381436340045,53248
206.57,2.06,203,0.0021549554,0.12548828,1.2428199,-0.008036921,0.009180492,0.8596532195806503,105,13440,263.4587110329885,53760
207.06,2.1,215,0.0034908815,0.2446289,1.2571007,-0.008595629,0.024700193,0.6391366124153137,106,13568,265.8379316050559,54272
205.93,2.07,206,0.002043718,0.079589844,1.2578869,-0.0057182307,0.0258511,0.6822317540645599,107,13696,268.3197141389828,54784
204.98,2.05,201,0.0012489548,0.0625,1.275246,-0.007881463,0.02978149,0.41998058557510376,108,13824,270.8559399100486,55296
205.48,2.07,206,0.0017555363,0.10205078,1.2393599,-0.0062752855,0.020611128,0.7829235345125198,109,13952,273.33173674705904,55808
207.94,2.17,203,0.001969297,0.08691406,1.2712855,-0.008017441,0.009680519,0.9108974635601044,110,14080,275.8476743490901,56320
207.72,2.2,201,0.0013029511,0.07910156,1.2330585,-0.007220817,0.017789725,0.8551937192678452,111,14208,278.3896552170627,56832
207.72,2.2,206,0.001978208,0.10546875,1.2348571,-0.009086883,0.011320272,0.9057664275169373,112,14336,280.86976690404117,57344
205.2,2.12,206,0.0014285697,0.04736328,1.2390289,-0.005830551,0.020385262,0.7135534584522247,113,14464,283.3551334310323,57856
209.34,2.21,206,0.002634825,0.15820312,1.2206213,-0.010396718,0.019767681,0.8251941949129105,114,14592,285.83032067201566,58368
210.08,2.23,204,0.0018681424,0.10888672,1.205348,-0.006714757,0.022398064,0.7554672211408615,115,14720,288.3403484330047,58880
210.43,2.24,207,0.001302996,0.053222656,1.2424177,-0.007976992,0.026471285,0.728891134262085,116,14848,290.8107786120381,59392
213.09,2.3,200,0.0020700267,0.09423828,1.2640094,-0.004588918,0.011661403,0.793839156627655,117,14976,293.3596504330635,59904
210.45,2.21,211,0.0019109668,0.10058594,1.2414105,-0.009089094,0.014389528,0.8425355702638626,118,15104,295.7781576490961,60416
210.53,2.21,201,0.0022536237,0.10058594,1.228902,-0.010543874,0.03064554,0.7189201414585114,119,15232,298.3181874360889,60928
213.71,2.31,202,0.0017599128,0.07714844,1.2073662,-0.005079496,0.018930871,0.8356959670782089,120,15360,300.8461603820324,61440
213.75,2.31,203,0.002262461,0.14160156,1.233297,-0.0056950394,0.02652423,0.7016249299049377,121,15488,303.36225982103497,61952
215.11,2.35,205,0.0023944278,0.1381836,1.2419052,-0.009699071,0.0147726955,0.8428695052862167,122,15616,305.85634931502864,62464
219.01,2.42,210,0.0017708854,0.09667969,1.22262,-0.0055874735,0.021805186,0.6972531676292419,123,15744,308.2913753060857,62976
217.78,2.38,201,0.0015304661,0.07861328,1.167106,-0.005299894,0.021593448,0.7176873981952667,124,15872,310.8339746200945,63488
216.61,2.35,202,0.0019500887,0.10107422,1.1573268,-0.0077715656,0.015003655,0.8312081843614578,125,16000,313.35782931605354,64000
216.48,2.36,201,0.002340971,0.13964844,1.1701063,-0.006343426,0.020228596,0.7985250353813171,126,16128,315.8947457789909,64512
214.96,2.33,202,0.0019483663,0.10449219,1.1496718,-0.0066840304,0.014909227,0.8360191583633423,127,16256,318.4257529199822,65024
213.4,2.3,204,0.0012442777,0.048828125,1.0971676,-0.00673508,0.023906428,0.7722864896059036,128,16384,320.9330537170172,65536
215.27,2.36,204,0.002233045,0.12890625,1.111953,-0.007834317,0.04125217,0.5185266435146332,129,16512,323.43390606099274,66048
218.27,2.43,217,0.003400181,0.20898438,1.1260469,-0.00610815,0.017981276,0.7615231573581696,130,16640,325.7842546349857,66560
217.2,2.41,207,0.0029139062,0.15429688,1.1212558,-0.010929931,0.010718315,0.8338237404823303,131,16768,328.25036803109106,67072
217.2,2.41,210,0.001260946,0.06298828,1.0858507,-0.005779592,0.048106547,0.27219414710998535,132,16896,330.6779847810976,67584
222.71,2.58,200,0.0042686323,0.16357422,1.0398821,-0.012101219,0.033842646,0.5118531584739685,133,17024,333.2291774530895,68096
220.76,2.53,200,0.0021115278,0.10058594,1.078315,-0.0073946784,0.012365439,0.7987361997365952,134,17152,335.7858598930761,68608
215.58,2.43,200,0.002691618,0.1303711,0.98511446,-0.005239568,0.014596775,0.772339403629303,135,17280,338.33825231099036,69120
214.53,2.4,204,0.0016400067,0.09863281,1.047787,-0.00599596,0.012450546,0.8843237683176994,136,17408,340.8382830310147,69632
213.99,2.47,202,0.0022596207,0.118652344,1.0785221,-0.0048669623,0.024388555,0.8125961571931839,137,17536,343.36470031004865,70144
212.27,2.43,206,0.0033734168,0.15039062,1.0758226,-0.008917294,0.029419485,0.7346639037132263,138,17664,345.8411475850735,70656
215.13,2.5,207,0.005391317,0.25683594,1.018426,-0.009070758,0.03386937,0.6034879386425018,139,17792,348.31457748205867,71168
218.78,2.6,202,0.0027542473,0.1303711,1.0967605,-0.006879803,0.019346917,0.7009420692920685,140,17920,350.84608242707327,71680
217.48,2.56,214,0.001953961,0.09814453,1.024252,-0.008549673,0.026046045,0.6299523413181305,141,18048,353.2296964530833,72192
219.41,2.67,206,0.0017338617,0.0859375,1.0106378,-0.008411124,0.02044204,0.8270055651664734,142,18176,355.7104216160951,72704
217.2,2.62,205,0.0026764437,0.15332031,0.99995023,-0.007077274,0.024816602,0.7338622212409973,143,18304,358.20727042004,73216
219.44,2.75,207,0.0021869086,0.12060547,1.0553731,-0.0116499495,0.023371687,0.6461029946804047,144,18432,360.6700806800509,73728
224.07,2.93,202,0.0033757084,0.17089844,1.0250322,-0.015052635,0.014160575,0.8833050802350044,145,18560,363.20202107401565,74240
225.01,2.96,201,0.0023124048,0.10498047,1.0647852,-0.0065069,0.025948536,0.8550055623054504,146,18688,365.7408797109965,74752
225.01,2.96,209,0.0035762396,0.18701172,1.015257,-0.00764225,0.049248785,0.6304721534252167,147,18816,368.1862208840903,75264
225.01,2.96,207,0.0026906051,0.15136719,1.0184169,-0.009212941,0.027442468,0.7555609494447708,148,18944,370.65687271999195,75776
230.37,3.07,203,0.0032860409,0.18261719,0.99162644,-0.011770449,0.012388615,0.9181478098034859,149,19072,373.1774842630839,76288
232.06,3.11,204,0.003178945,0.18066406,0.94432515,-0.0063234763,0.02038552,0.8052026629447937,150,19200,375.68090440600645,76800
232.6,3.13,209,0.0032626789,0.15429688,0.9726364,-0.00645133,0.010122915,0.8623693585395813,151,19328,378.1261627470376,77312
231.82,3.18,203,0.001971974,0.109375,0.9607786,-0.008105765,0.01129718,0.9395869337022305,152,19456,380.64465824200306,77824
234.69,3.31,207,0.0037167338,0.18115234,0.8550898,-0.007947704,0.023875957,0.8035537451505661,153,19584,383.11476311902516,78336
234.43,3.3,204,0.003780609,0.18066406,0.8884882,-0.0010689656,0.015603311,0.8506694287061691,154,19712,385.6138326940127,78848
231.44,3.24,204,0.002367598,0.11035156,1.037153,-0.007811412,0.0109544825,0.825997918844223,155,19840,388.1212593840901,79360
234.15,3.34,202,0.002970624,0.10449219,0.95552033,-0.007890401,0.014798,0.9465411305427551,156,19968,390.64583378098905,79872
234.15,3.34,206,0.0021456638,0.10839844,0.85101473,-0.007381401,0.043310836,0.7437953352928162,157,20096,393.1299877470592,80384
231.57,3.28,205,0.0025656521,0.13720703,0.88811123,-0.008338175,0.030761037,0.6394824683666229,158,20224,395.6207060480956,80896
231.27,3.27,205,0.002772926,0.14697266,0.9688255,-0.0077954354,0.02429803,0.8435436636209488,159,20352,398.10989879106637,81408
236.29,3.43,201,0.0037114457,0.13134766,0.8973387,-0.007347647,0.018069211,0.9226643890142441,160,20480,400.6458462290466,81920
