# {"t_start": 1574517855.5826716, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,127,2086.892788
1.0,176,2088.749137
0.0,129,2090.058946
2.0,200,2092.158142
0.0,129,2093.514866
0.0,129,2094.850419
5.0,352,2098.793209
4.0,297,2102.060393
3.0,248,2104.616004
1.0,173,2106.420919
2.0,202,2108.496309
2.0,202,2110.556571
2.0,198,2112.533598
0.0,129,2113.751076
7.0,449,2118.700997
0.0,129,2120.042357
2.0,224,2122.481181
2.0,202,2124.607425
2.0,203,2126.720879
0.0,127,2127.976079
0.0,125,2129.225678
1.0,172,2130.992934
2.0,205,2133.12937
5.0,352,2136.941527
1.0,157,2138.543815
0.0,125,2139.841566
0.0,127,2141.12761
0.0,129,2142.403051
5.0,350,2145.983673
2.0,202,2148.186881
2.0,227,2150.66039
0.0,125,2152.03424
1.0,157,2153.661867
5.0,359,2157.36065
3.0,272,2160.151708
0.0,127,2161.439638
3.0,248,2164.188884
1.0,157,2165.900975
1.0,155,2167.532592
1.0,151,2169.069353
11.0,498,2174.414917
0.0,129,2175.713182
4.0,301,2178.787931
2.0,181,2180.665184
4.0,295,2183.881275
2.0,192,2185.971819
0.0,129,2187.233521
1.0,155,2188.770817
4.0,297,2191.980111
4.0,297,2195.052747
5.0,352,2198.864399
2.0,202,2200.964684
1.0,172,2202.787371
0.0,127,2204.03995
1.0,175,2205.873105
3.0,248,2208.511129
1.0,155,2210.13279
1.0,159,2211.667233
4.0,321,2215.083758
5.0,352,2219.057745
0.0,127,2220.297458
1.0,173,2222.114624
0.0,129,2223.381191
1.0,175,2225.194479
2.0,202,2227.33847
5.0,372,2231.362594
0.0,127,2232.601717
10.0,430,2237.100157
1.0,176,2238.855184
1.0,157,2240.408109
2.0,187,2242.32638
2.0,227,2244.708877
5.0,350,2248.446754
0.0,127,2249.742297
7.0,426,2254.247717
1.0,177,2256.018567
3.0,275,2258.846301
0.0,129,2260.117599
0.0,127,2261.343884
1.0,176,2263.144982
2.0,185,2265.062623
0.0,127,2266.324742
3.0,230,2268.662662
2.0,217,2270.873075
2.0,202,2273.009
0.0,129,2274.28184
0.0,125,2275.60144
5.0,347,2279.245321
0.0,125,2280.533846
5.0,350,2284.145909
0.0,125,2285.341632
10.0,434,2290.085915
5.0,344,2293.828363
1.0,155,2295.364166
2.0,202,2297.493513
0.0,129,2298.727051
3.0,230,2301.259669
0.0,129,2302.589725
0.0,129,2303.936094
1.0,155,2305.61646
0.0,129,2306.966067
1.0,155,2308.580115
5.0,306,2311.770071
3.0,233,2314.158662
4.0,297,2317.293678
1.0,175,2319.157123
0.0,127,2320.434623
2.0,206,2322.606835
0.0,129,2323.945201
12.0,425,2328.613556
9.0,380,2332.814084
0.0,129,2334.054609
0.0,125,2335.24061
0.0,127,2336.468699
2.0,202,2338.552423
1.0,157,2340.17863
3.0,246,2342.880077
4.0,260,2345.610102
0.0,129,2346.858443
8.0,372,2350.749933
1.0,155,2352.354569
